Job_Title,Company,Salary_Range,URL,JD_Text,Skills,Job_Family,Location
Finance Data Analyst Executive,https://talent.urbox.vn/,"20.000.000 - 25.000.000
Ứng tuyển",https://jobs.neu.edu.vn/jobs/finance-data-analyst-executive-urbox-1202605141726,"1. Mô tả công việc:
Collect, process, categorize, and validate financial data from multiple sources.
Clean and prepare datasets to support internal management reporting.
Prepare accurate and timely financial and operational reports, including insights and recommendations for improvement.
Build, maintain, and visualize management dashboards using tools such as Excel, Google Sheets, and Power BI.
Identify opportunities to enhance efficiency through process optimization and automation.
Explore and apply new technologies, including automation tools and AI applications, to improve data processing workflows.
Support the preparation of financial data and materials for fundraising presentations and business decision-making
2. Nơi làm việc: tòa nhà GP Invest, 170 Đê La Thành, Ô Chợ Dừa, Hà Nội
3. Yêu cầu ứng viên:
Bachelor’s degree in Finance, Accounting, or a related field; professional certifications (e.g., ACCA, CPA, CMA) are a plus
Minimum 2 years of experience in Financial Analysis, Financial Reporting, or Data Analysis within Finance.
Strong proficiency in Microsoft Excel, Google Sheets, and Power BI.
Experience in data cleaning, data preparation, and dashboard visualization.
Strong analytical mindset with attention to detail and problem-solving skills.
Passion for technology and willingness to learn and apply new tools or software in finance.
Proactive, adaptable, and able to work independently as well as collaboratively.
Nice to have:
Experience with SQL, Power Query, VBA, or Python.
Experience working in a startup, technology, or fast-paced environment.
4. Chính sách đãi ngộ:
Employee care & benefit:
12 days of annual leave and 1 day off for birthday
Premium Health Insurance and annual Health Check-up
Gift voucher monthly
Have fun with many company activities throughout the year such as Sport clubs, Team building, Year End Party, Woman’s Day, Noel, Tet Holidays,...
Development opportunities:
UrBox offers professional training courses to help employees develop their expertise and gain the opportunity to work and learn from experienced and dedicated leaders.
Recognition and rewards:
UrBox takes pride in a fair and transparent performance evaluation and reward system to recognize employees’ contribution
Year-end performance bonus and Sales commission
Working hours: Mon - Fri, 9 AM - 6 PM (40 hours/week)
5. Cách thức ứng tuyển:
Ứng tuyển trực tiếp theo đường dẫn:
https://talent.urbox.vn/job/finance-analyst-executive-4748","python,giao tiếp,tiếng anh",Data/Business Analysis,Hà Nội
Data Analyst,https://kamereo.vn/tuyen-dung,"Thoả thuận
Ứng tuyển",https://jobs.neu.edu.vn/jobs/data-analyst-kamereo-1202605131626,"1. Mô tả công việc:
Thực hiện phân tích dữ liệu khám phá (EDA) nhằm xác định xu hướng, mô hình và các điểm bất thường
Xây dựng và triển khai các mô hình dữ liệu, thuật toán và phương pháp thống kê để khai thác insight có giá trị
Tham gia phát triển các chiến lược và sáng kiến dựa trên dữ liệu nhằm cải thiện hiệu quả kinh doanh
Xây dựng báo cáo và trực quan hóa dữ liệu để trình bày kết quả tới các bên liên quan và ban lãnh đạo
Chủ động đề xuất, phát triển và duy trì hệ thống dashboard, báo cáo
Xây dựng các dashboard dữ liệu phục vụ phân tích vận hành và khám phá
Tham gia cải thiện hiệu suất hoạt động thông qua phân tích, báo cáo và dự báo
Theo dõi và quản lý KPI, phối hợp triển khai dự án (vận hành, quy trình bán hàng)
Thực hiện các công việc khác theo yêu cầu
Thu thập và tiền xử lý dữ liệu từ nhiều nguồn, đảm bảo tính chính xác và toàn vẹn dữ liệu
Hỗ trợ xây dựng và duy trì các pipeline và workflow dữ liệu
Kiểm tra định kỳ dữ liệu và dashboard để đảm bảo báo cáo luôn cập nhật và chính xác
Phối hợp với các thành viên khác để triển khai, tích hợp và tối ưu hệ thống hiện có
2. Nơi làm việc:
Tầng 13, Toà Detech Tower 2, 107 Nguyễn Phong Sắc, phường Cầu Giấy, Hà Nội
3. Yêu cầu ứng viên:
Tốt nghiệp các ngành: Thống kê, Kinh tế hoặc các lĩnh vực liên quan đến định lượng
Sử dụng Tiếng Anh chuyên ngành thành thạo để giao tiếp trong công việc
Có khoảng 1 năm kinh nghiệm trong lĩnh vực phân tích dữ liệu
Thành thạo SQL, Python, R hoặc các ngôn ngữ lập trình phục vụ phân tích dữ liệu
Có kinh nghiệm sử dụng các công cụ trực quan hóa dữ liệu như Power BI, Google Data Studio, Tableau
Biết sử dụng Google BigQuery/Google Sheets là một lợi thế
Có kiến thức về Machine Learning là một lợi thế
Hiểu biết về các nền tảng cloud như AWS, Azure hoặc Google Cloud là điểm cộng
Có kinh nghiệm trong ngành F&B là lợi thế
Kỹ năng giao tiếp tốt, có khả năng truyền đạt nội dung kỹ thuật tới người không chuyên, kể chuyện bằng dữ liệu (data storytelling)
Tư duy phân tích tốt, hiểu business và có khả năng giao tiếp hiệu quả
Cẩn thận, chú trọng chất lượng công việc và đáp ứng deadline
Kỹ năng giải quyết vấn đề và tổ chức công việc tốt
Có khả năng thích nghi trong môi trường phát triển nhanh, chịu được áp lực
4. Chính sách đãi ngộ:
Mức lương cạnh tranh
Nhận 100% lương trong thời gian thử việc
Xét tăng lương định kỳ 1 lần/năm (tháng 12)
Cấp laptop và đầy đủ thiết bị làm việc
Thưởng hiệu suất hàng tháng & thưởng năm
Tham gia đầy đủ BHXH, BHYT, BHTN sau khi trở thành nhân viên chính thức
Khám sức khỏe định kỳ
Các hoạt động nội bộ (thể thao, tea break, v.v.)
Voucher sinh nhật cho nhân viên
Chương trình thưởng giới thiệu ứng viên
Chế độ phúc lợi chăm lo đời sống, sức khỏe theo Công đoàn
5. Cách thức ứng tuyển:
Ứng viên nộp CV qua email: recruitment@kamereo.vn
SĐT: 0936 119 016","python,giao tiếp,tiếng anh",Data/Business Analysis,Hà Nội
Nhân viên Data Analyst,https://sonat.vn/careers,"Up to 13.000.000
Ứng tuyển",https://jobs.neu.edu.vn/jobs/data-analyst-sonat-game-studio-1202602041608,"1. Mô tả công việc:
Lên kế hoạch, thực thi và phân tích sâu kết quả A/B test (gameplay, MO), thiết lập tracking và remote config cho các sản phẩm game.
Xử lý, phân tích dữ liệu thô và trực quan hóa theo yêu cầu từ các bộ phận.
Dựa vào dữ liệu, hỗ trợ ra quyết định xây dựng luồng monetization: thiết kế shop IAP, hỗ trợ quảng cáo IAA, cấu hình network ads.
Theo dõi hiệu suất game, phân tích chỉ số (retention, funnel, LTV...) và đề xuất cải tiến vận hành.
Phối hợp với các team để tư vấn về sản phẩm dựa trên dữ liệu, báo cáo kết quả và chia sẻ insight nội bộ.
2. Nơi làm việc: Tầng 10, tòa nhà The West, 265 Cầu Giấy, Cầu Giấy, Hà Nội
3. Yêu cầu ứng viên:
Kiến thức (Knowledge)
Sinh viên năm cuối hoặc mới tốt nghiệp các chuyên ngành Phân tích dữ liệu, Phân tích kinh doanh, Thống kê, Toán - Tin, Khoa học máy tính hoặc lĩnh vực liên quan
Có khả năng làm việc full-time 100% tại văn phòng
Có tối thiểu 6 tháng - 1 năm làm việc tại vị trí tương đương
Có nền tảng vững về xác suất – thống kê và tư duy phân tích
Hiểu biết cơ bản về Monetization model và quy trình phát hành game là lợi thế
Ưu tiên ứng viên có hiểu biết về game mobile hoặc casual
Kỹ năng (Skill)
Kỹ năng phân tích và lập kế hoạch tốt, có khả năng chuyển hóa dữ liệu phức tạp thành insight thực tiễn
Thành thạo các công cụ phân tích dữ liệu như SQL, Python
Biết sử dụng Power BI / Tableau / Looker / AppScript là điểm cộng
Kỹ năng giao tiếp tốt bằng cả ngôn ngữ nói và viết
Giao tiếp tiếng Anh thành thạo
Sử dụng thành thạo Google Sheets, Excel, Canva
Tỉ mỉ, có kỹ năng tổ chức và quản lý công việc tốt
Có khả năng làm việc độc lập và làm việc nhóm hiệu quả
Thái độ (Attitude)
Nhanh nhạy, thích nghi tốt với công việc và chịu được áp lực.
Có khả năng làm việc trong môi trường tốc độ cao.
Tích cực, chủ động và có trách nhiệm trong công việc
Siêng năng, ham học hỏi, nhiệt tình, với tư duy phát triển mạnh mẽ
Tính cách cẩn thận, trung thực
Cam kết gắn bó lâu dài với công ty.
4. Chính sách đãi ngộ:
THU NHẬP
Mức lương: Lên tới 13M
Thử việc nhận 100% lương cứng, xét tăng lương 2 lần/năm
Phụ cấp ăn trưa: 1.000.000 VNĐ/tháng
Thu nhập tính theo hiệu suất và kết quả công việc
CƠ HỘI PHÁT TRIỂN
Mở rộng và nâng cao kiến thức, kỹ năng chuyên môn
Tham gia trực tiếp các dự án toàn cầu thực tế
Có lộ trình phát triển nghề nghiệp cá nhân hóa rõ ràng
MÔI TRƯỜNG LÀM VIỆC
Môi trường quốc tế, chuyên nghiệp, năng động
Hưởng đầy đủ chính sách chăm sóc đời sống hằng ngày
PHÚC LỢI
Đóng BHXH, BHYT, BHTN đầy đủ theo luật
Gói khám sức khỏe định kỳ miễn phí tại bệnh viện Hồng Ngọc/Thu Cúc/Vinmec/...
Chế độ hiếu hỷ, quà tặng sinh nhật, lễ, Tết và các dịp đặc biệt
Thưởng Tết Dương lịch, Tết Âm lịch, 8/3, 30/4–1/5, Trung thu, 2/9, 20/10,...
Chính sách thưởng hiệu suất không giới hạn
THỜI GIAN LÀM VIỆC
Thứ Hai – Thứ Sáu, nghỉ Thứ Bảy & Chủ Nhật
Sáng: 8:30 – 12:00 | Chiều: 13:00 – 18:00 | Tea-break: 15:00 – 15:30
5. Cách thức ứng tuyển:
Ứng tuyển qua tin đăng trên Website:
https://sonat.vn/application/data-analyst
SĐT hoặc Email để ứng viên có thể liên hệ trực tiếp 0936060967- Ms Phương","python,giao tiếp,tiếng anh",Data/Business Analysis,Hà Nội
Thực Tập Sinh Data Analyst,https://datapot.vn/,"Thoả thuận
Ứng tuyển",https://jobs.neu.edu.vn/jobs/thuc-tap-sinh-data-analyst-datapot-analytics-group-1202601201409,"1. MÔ TẢ CÔNG VIỆC:
Hỗ trợ các dự án nội bộ về khoa học dữ liệu, phát triển kho nội dung chuyên môn của Datapot với các công việc: Thu thập yêu cầu; Mô tả và đánh giá; Thiết kế mô hình dữ liệu; Xây dựng báo cáo; Lên ý tưởng và thực hiện các phân tích trực quan, …
Xây dựng nội dung liên quan đến Data & AI dưới các định dạng bài viết chuyên môn, tài liệu giảng dạy, video, workshop,…
Báo cáo cho quản lý trực tiếp về kết quả và phối hợp với quản lý xử lý các vấn đề phát sinh trong công việc.
Thực hiện các công việc khác theo yêu cầu trực tiếp từ quản lý.
2. YÊU CẦU ỨNG VIÊN:
Tốt nghiệp từ đại học với các chuyên ngành như hệ thống thông tin, khoa học máy tính,… hoặc các chuyên ngành khác có liên quan.
0-1 năm kinh nghiệm làm việc tại các vị trí trong lĩnh vực công nghệ thông tin.
Kỹ năng: Sử dụng SQL, một công cụ BI bất kỳ (Ưu tiên Power BI), một ngôn ngữ lập trình bất kỳ, các công cụ về Power Platform là lợi thế.
3. CHÍNH SÁCH ĐÃI NGỘ:
Mức thu nhập cạnh tranh: Thoả thuận theo năng lực, cùng thưởng hiệu suất xứng đáng theo kết quả công việc và đóng góp của bạn.
Thưởng lễ/Tết và các khoản thưởng khác theo tình hình kinh doanh và chính sách Công ty.
Được tham gia các hoạt động gắn kết team: Happy Hour, Team Building hàng năm,…
Có cơ hội trở thành nhân viên chính thức nếu bạn thể hiện tốt trong quá trình thực tập.
Được mentor hướng dẫn trực tiếp, làm việc cùng đội ngũ nhân sự giỏi, tiêu chuẩn cao và môi trường đề cao tính chuyên nghiệp, luôn được cập nhật, tiếp cận và ứng dụng các công nghệ mới nhất vào công việc thực tế.
Được tham gia các hoạt động nội bộ, workshop, khóa học kỹ năng và các chương trình đào tạo nâng cao; trình độ chuyên môn theo chính sách chung của Công ty.
Được hỗ trợ dấu thực tập và xác nhận từ Công ty theo chính sách chung.
Môi trường làm việc: Năng động, sáng tạo, nghỉ thứ Bảy & Chủ nhật.
4. CÁCH THỨC ỨNG TUYỂN:
Gửi CV qua email: uyenpt@datapot.vn
Hạn cuối: 23:59 ngày 15/3/2026
Lưu ý: Do hạn chế về mặt thời gian, chúng tôi có thể sẽ chỉ phản hồi kết quả ứng tuyển qua email cho các ứng viên được chọn. Trong và sau khi ứng tuyển, vui lòng thường xuyên kiểm tra cả hòm thư Spam hoặc Promotions (Quảng cáo) để không bỏ sót bất cứ thông báo nào từ chúng tôi.","python,giao tiếp,tiếng anh",Data/Business Analysis,Hà Nội
Nhân viên Data Analyst,https://kamereo.vn/tuyen-dung,"Thoả thuận
Ứng tuyển",https://jobs.neu.edu.vn/jobs/nhan-vien-data-analyst-kamereo-1202601161508,"1. Mô tả công việc:
Business intelligence (BI) and reporting (70%):
Perform exploratory data analysis to identify trends, patterns, and anomalies.
Develop and implement data models, algorithms, and statistical techniques to extract meaningful insights.
Contribute to the development of data-driven strategies and initiatives to improve business performance.
Create visualizations and reports to communicate findings to stakeholders and management.
Ownership of conceptualizing, developing, and maintaining dashboards and visualizations.
Build a key data dashboard to empower operational and exploratory analysis.
Participate in improving the operational efficiency of the business with analysis, reporting, and forecasting.
KPI management, project coordinator (operation, sales process).
Other tasks as assigned on demand.
Optimize database (30%):
Collect and preprocess data from various sources, ensuring data integrity and accuracy.
Assist in the development and maintenance of data pipelines and workflows.
Review data and dashboard periodically to make sure all reports be up-to-date and accurate.
Work with other members to implement, integrate and optimize our existing systems.
2. Nơi làm việc:
13th Floor, Detech Tower II, 107 Nguyen Phong Sac Street, Cau Giay Ward, Hanoi City.
3. Yêu cầu ứng viên:
A degree in – Statistics, Economics or related quantitative fields preferred.
01 year of industry experience in the data analytics area.
Proficiency in SQL, Python, R, or other programming languages for data manipulation and analysis.
Experience with data visualization tools such as Power BI, Google Data Studio, Tableau.
Knowing Google BigQuery/Google Sheets is a plus.
Experience with machine learning algorithms and techniques is a plus.
Knowledge of cloud platforms such as AWS, Azure, or Google Cloud is desirable.
Have Experience in F&B industry is a plus.
Interpersonal skills with demonstrated ability to influence outcomes and communicate technical content to general audiences, including ability to “tell story” with data.
Strong analytical thinking, business sense and communication skills.
Detail-oriented with a focus on delivering high-quality work within tight deadlines.
Proven problem-solving skills, and exceptional organizational skills.
Adaptable in fast-growing environment and willing to work under pressure.
4. Chính sách đãi ngộ:
Salary: Competitive salary.
The probationary salary is 100%.
A challenging working environment, and an extra steep learning curve.
Salary review once a year in December.
Working time is 9:00 - 18:00, 5 days/week.
Annual Leave is 12 days/year.
Provide laptop and necessary equipment.
5. Cách thức ứng tuyển:
Ứng viên nộp CV trực tiếp qua email.
SĐT hoặc Email để ứng viên có thể liên hệ trực tiếp:
Email: recruitment@kamereo.vn
SĐT: 0936 119 016","python,giao tiếp,tiếng anh",Data/Business Analysis,Hà Nội
Data Analysts Intern,https://www.socotec.com/,"5.000.000
Ứng tuyển",https://jobs.neu.edu.vn/jobs/data-analysts-intern-socotec-vietnam-1202512261557,"1. Job Description:
Implement updates and improvements on internal system based on PowerBI automation
Create Dashboard from different data sources (SharePoint Online, API, Flat files,…)
Participate in data automation processes with VBA/PowerBI/Microsoft PowerApps/Microsoft Forms/Microsoft List, etc.
Handling ad-hoc tasks from Managers/ Administration department.
2. Qualifications:
Final year students or fresh graduate with career interest in Data Analysts. Can work full-time from Mon-Fri
Proficient in using Power BI (Having MS PL300 Certification would be preferred)
Ability to work with Qlik Sense would be a strong advantage
Knowing VBA programming language is prefered
Ability to work with Python (Especially in using Pandas library for ETL data process)
English Speaking Fluently
Professional work attitude and willingness to learn
Strong analytical, problem solving and decision-making skills
Focus upon On Time Delivery, with effective methodologies and workarounds
3. Additional Information:
Attractive allowance (5 mil VND/month)
Great working environment which promotes people values and sustainability
Opportunities for self-development and career advancement
Flexible working time with 12 annual leave days & 15 work from home days
Team-building activities, Sport Clubs
Cooperation with colleagues around the world in a leading global group
Strong team spirit in an entrepreneurial environment of a growing company
People values, social responsibility and sustainability
APPLY HERE","python,giao tiếp,tiếng anh",Data/Business Analysis,Hà Nội
Thực Tập Sinh Data Analyst,https://proxglobal.com/,"3.000.000 - 4.000.000
Ứng tuyển",https://jobs.neu.edu.vn/jobs/thuc-tap-sinh-data-analys-prox-global-1202512050925,"1. Mô tả công việc:
Quản lý hệ thống Data Warehouse với nguồn dữ liệu từ đa nền tảng (Google, Meta. Apple) đảm bảo dữ liệu đầy đủ, tin cậy, chính xác, liên tục.
Xây dựng và phát triển liên tục các hệ thống báo cáo thông minh (BI System) phục vụ giám sát và ra quyết định cho các phòng ban (sản phẩm, kinh doanh)
Thực hiện các báo cáo định kỳ về hiệu suất và chỉ số quan trọng.
2. Chế độ đãi ngộ:
Mức lương cứng: 3,000,000 - 4,000,000 VNĐ/tháng
Review đánh giá: (Lộ trình 3 tháng lên thử việc chính thức)
3 tháng đầu: Đánh giá mức độ phù hợp công việc
Kết quả tốt/ xuất sắc => Lên thử việc chính thức và điều chỉnh mức lương hỗ trợ
2 tháng tiếp theo: Đánh giá tiếp nhận nhân viên chính thức, tăng cơ chế
Được hướng dẫn và đào tạo bổ sung chuyên môn ngành Mobile App theo lộ trình của Công ty.
Được tiếp cận các sản phẩm lớn tầm quốc tế, có hàng triệu người dùng.
Được tự do sáng tạo làm sản phẩm mobile app toàn cầu, không làm outsource cho nước ngoài.
Được làm việc trong môi trường Startup công nghệ năng động và luôn luôn cải tiến, học hỏi, chia sẻ những cái mới.
Toàn bộ Công ty có thể chuyển đổi sang làm trực tuyến nhiều tháng khi cần thiết (VD: Khi giãn cách xã hội do dịch bệnh).
Có thưởng doanh thu theo % công sức theo từng project mình tham gia (Up to 18k usd)
Thưởng các mức theo các milestone dự án, năng suất tiến độ công việc hoặc sáng kiến cải tiến mới.
Được training các bước phát triển các sản phẩm theo mô hình Scrum cách thức sử dụng công cụ phân tích các chỉ số user trên sản phẩm để từ đó đưa ra giải pháp phát triển sản phẩm.
Được giao quyền Quản lý dự án làm việc với team đầy đủ các role phát triển sản phẩm (Marketing, UiUx Design, Dev, Tester, PM)
Đặc biệt, được đầu tư, hỗ trợ nguồn lực để phát triển riêng ý tưởng của mình (nội bộ tổ chức inovation day hàng tháng, top ý tưởng sẽ được đầu tư).
Du lịch hàng năm, team-building
Tiệc sinh nhật, quà sinh nhật, ...
3. Yêu cầu:
Sinh viên năm cuối hoặc có thể làm việc fulltime.
Ưu tiên sinh viên các ngành CNTT , Data.
Có khả năng research, đọc hiểu và xử lý vấn đề. Khai thác  tốt các tool AI là điểm cộng.
Có trải nghiệm thực tế với lập trình (Python, PHP..), cơ sở dữ liệu (SQL và non SQL). Có kinh nghiệm làm việc với Requests và API là điểm cộng.
Sáng tạo, nhiệt huyết, muốn chinh phục việc khó.
4. Cách thức ứng tuyển:
Vui lòng gửi CV mới nhất của bạn đến email: admin@proxglobal.com","python,giao tiếp,tiếng anh",Data/Business Analysis,Hà Nội
Data Analyst,https://tuyendung.vnpay.vn/,"Thỏa thuận
Ứng tuyển",https://jobs.neu.edu.vn/jobs/data-analyst-cong-ty-co-phan-giai-phap-thanh-toan-viet-nam-vnpay-1202511181602,"1. MÔ TẢ CÔNG VIỆC:
Tương tác với các phòng ban, bộ phận để nắm được yêu cầu và nghiệp vụ sản phẩm, kinh doanh
Xây dựng hệ thống báo cáo/dashboards bằng các công cụ BI (chủ yếu là Power BI) để phục vụ công tác giám sát, phân tích, hỗ trợ ra quyết định kinh doanh và phát triển sản phẩm và hướng dẫn và hỗ trợ các đơn vị vận hành hệ thống báo cáo/dashboards đã bàn giao.
Tham gia vào quá trình phân tích, đề xuất cải tiến để phát triển kinh doanh, phát triển sản phẩm
Tham gia công tác xây dựng, điều chỉnh, tối ưu hóa các mô hình phân tích phục vụ ra quyết định kinh doanh trên lĩnh vực được phân công
Tham qua dự án nghiên cứu để xây dựng Data Warehouse; xây dựng quy trình quản trị dữ liệu Data governance
2. YÊU CẦU ỨNG VIÊN:
Tốt nghiệp Đại học khối ngành Khoa học dữ liệu, Toán kinh tế, Hệ thống thông tin quản lý (MIS), Tài chính ngân hàng hoặc chuyên ngành khác có liên quan
Có khả năng sử dụng Tiếng Anh trong công việc
Tối thiểu 01 năm kinh nghiệm trở lên ở vị trí Phân tích dữ liệu (Data Analyst)
Có kinh nghiệm làm việc với các công cụ BI như: Power BI, Google Data Studio, Tableau hoặc các công cụ trực quan hóa dữ liệu khác
Thành thạo ngôn ngữ lập trình phân tích dữ liệu lớn bigdata: SQL, R hoặc Python.
Có kinh nghiệm tham gia dự án xây dựng Data warehouse, quản trị dữ liệu Data governance
Có hiểu biết về các sản phẩm, dịch vụ trung gian thanh toán, ngân hàng và kinh doanh trên nền tảng số
Có tinh thần kỷ luật và trách nhiệm cao
Có khả năng chủ động tự tìm hiểu, giải quyết vấn đề.
Có hiểu biết về mô hình Agile, có khả năng làm việc trong môi trường có nhịp độ nhanh, theo thời
Ứng viên biết ứng dụng công cụ AI trong công việc
3. CHẾ ĐỘ ĐÃI NGỘ:
Chế độ lương & thưởng hấp dẫn:
Mức lương thỏa thuận theo năng lực, đánh giá năng lực hàng năm
Chế độ thưởng phong phú và hấp dẫn (Theo quy định và chính sách công ty)
Hỗ trợ ăn sáng miễn phí
Hỗ trợ ăn trưa: 50.000đ/ngày
Hỗ trợ gửi xe, xăng xe, điện thoại (tùy vị trí)
Hỗ trợ trang điểm cho CBNV nữ
Quà tặng các ngày lễ trong năm
Bảo hiểm & chăm sóc sức khỏe toàn diện:
BHXH, BHYT, BHTN theo pháp luật hiện hành
Gói bảo hiểm sức khỏe cao cấp 24/7 mua cho nhân viên & người thân nhân viên
Khám sức khỏe định kỳ hàng năm
Môi trường làm việc hiện đại:
Cung cấp máy tính & thiết bị làm việc hiện đại
Thời gian làm việc linh hoạt
Văn phòng làm việc hiện đại, thiết bị làm việc Hi- tech
Không gian ăn nhẹ miễn phí (nước uống, trà cafe, hoa quả, sữa chua)
Phát triển nghề nghiệp:
Cơ hội tiếp cận với những công nghệ mới, những dự án quy mô lớn
Làm việc cùng đội ngũ hơn 2000 nhân sự tài năng, có chuyên môn giỏi, dày dặn kinh nghiệm, tư duy chia sẻ
Được tài trợ kinh phí tham gia các chương trình đào tạo nâng cao năng lực
Công ty thành lập gần 20 năm với các sản phẩm & dịch vụ đã được khẳng định vị thế trên thị trường
Hoạt động ngoại khóa phong phú:
Văn hóa công ty đặc sắc với nhiều hoạt động đoàn thể được quan tâm đầu tư: Team building, Nghỉ mát (trong nước và nước ngoài), 20/10, Year End Party, hoạt động thiện nguyện,…
Các câu lạc bộ:
CLB Cầu lông
CLB Bóng đá
CLB Yoga
CLB Điền kinh
CLB Bơi
APPLY HERE","python,giao tiếp,tiếng anh",Data/Business Analysis,Hà Nội
Business/Data Analyst Intern,https://www.rakuna.co/,"Thoả thuận
Ứng tuyển",https://jobs.neu.edu.vn/jobs/data-analyst-intern-rakuna-1202510221459,"1. Job Description:
We are seeking a highly motivated Business/Data Analyst Intern to join our Product Team. This role offers the opportunity to work on real-world problems, gain insights into the strategic decision-making process, and contribute to the optimization of our business operations.
2. Key Responsibilities:
Assist in the collection, cleaning, and analysis of business data from various internal and external sources.
Involve directly to the Software Development Life Cycle and other strategies that optimize statistical efficiency and quality.
Work closely with the business and technology teams to identify, analyze, and interpret trends or patterns in complex data sets.
Contribute to the design and execution of testing experiments and other performance improvement initiatives.
3. Qualifications:
Currently enrolled in or a recent graduate of a Bachelor’s or Master’s program in Business, Economics, Statistics, Computer Science, Data Science, or a related field.
Strong problem-solving skills and attention to detail.
Excellent verbal and written communication skills.
Ability to work independently and as part of a team.
Eagerness to learn and take on new challenges in a fast-paced environment.
4. Benefits:
Opportunity to join different training sessions, and frequent bonding events.
Opportunity to get a full-time position in a young, energetic, friendly, diverse, multinational start-up team where your ideas and creativity is highly encouraged and appreciated.
Own creative freedom, wear multiple hats and work on a wide variety of exciting projects.
5. Apply:
Send resume/CV and portfolios (required) to apply:
https://jobs.smartrecruiters.com/oneclick-ui/company/RAKUNA1/publication/85c3e6da-fb17-477f-8c8c-7e2af80b8a1c?dcr_ci=RAKUNA1
Only qualified candidates will be contacted.
Application Deadline: Open until filled.","python,giao tiếp,tiếng anh",Data/Business Analysis,Hà Nội
Nhân Viên Data Analyst,https://synodus.com/,"Thoả thuận
Ứng tuyển",https://jobs.neu.edu.vn/jobs/nhan-vien-data-analyst-cong-ty-synodus-1202510101057,"1. MÔ TẢ CÔNG VIỆC:
Làm việc chặt chẽ với các phòng ban, bộ phận liên quan để hiểu rõ lĩnh vực chuyên môn và cấu trúc dữ liệu;
Tham gia quá trình thiết kế và tổ chức dữ liệu trong Data Warehouse.
Phân tích dữ liệu để xác định xu hướng và mô hình dữ liệu, nhằm xây dựng Dashboard phục vụ nhu cầu khai thác dữ liệu của các phòng chuyên môn
Đào tạo, hỗ trợ, hướng dẫn người dùng khai thác hiệu quả các kết quả phân tích trên Dashboard
Sử dụng các công cụ AI ứng dụng vào thực tế công việc
2. YÊU CẦU ỨNG VIÊN:
Tốt nghiệp Đại học, các chuyên ngành Thống kê, Kinh tế, Phân tích dữ liệu, Phân tích kinh doanh, Khoa học dữ liệu và các chuyên ngành có liên quan.
Có khả năng sử dụng một trong các công cụ trực quan hóa dữ liệu như Power BI, Tableau, Superset, ...
Có khả năng làm việc với SQL, tối ưu SQL và lập trình với Python.
Sử dụng tốt các công cụ tin học văn phòng (Word, Excel, PowerPoint)
Ưu tiên ứng viên am hiểu về các concept trong xây dựng Data Warehouse (Dimensional Model, BI Self-Service, Semantic Layer,…)
Có “business sense” tốt, ứng dụng xử lý các đa dạng vấn đề từ các phòng ban (Marketing/Sales/Finance/Manufacturing/…).
Có khả năng xử lý lượng thông tin lớn từ dữ liệu và diễn giải tới non-technical stakeholder.
Khả năng tự học hỏi và tính tự giác cao.
Kỹ năng giao tiếp tốt, cởi mở, thân thiện.
Kỹ năng làm việc nhóm hiệu quả.
3. CHÍNH SÁCH ĐÃI NGỘ:
Range lương: thoả thuận
Thời gian làm việc: 8h00 – 17h30, từ thứ Hai đến thứ Sáu (nghỉ trưa 1,5h từ 12h đến 13h30)
Môi trường trẻ trung, có nhiều cơ hội phát triển
Thưởng lễ, tết, xét tăng lương hàng năm;
Du lịch hàng năm và team building theo tháng/quý;
Bảo hiểm xã hội, BHYT theo quy định của Nhà nước;
Gói bảo hiểm sức khỏe BSH;
Khám sức khỏe định kỳ hàng năm;
Nâng cao chuyên môn và kỹ năng mềm thông qua các buổi seminar kĩ thuật và hội thảo kĩ năng được tổ chức thường xuyên tại công ty.
4. CÁCH THỨC ỨNG TUYỂN:
Gửi CV qua email: mentt@synodus.com
Hạn cuối: 23:59 ngày 30/11/2025
Lưu ý: Do hạn chế về mặt thời gian, chúng tôi có thể sẽ chỉ phản hồi kết quả ứng tuyển qua email cho các ứng viên được chọn. Trong và sau khi ứng tuyển, vui lòng thường xuyên kiểm tra cả hòm thư Spam hoặc Promotions (Quảng cáo) để không bỏ sót bất cứ thông báo nào từ chúng tôi.","python,giao tiếp,tiếng anh",Data/Business Analysis,Hà Nội
